entry_lag,hold_days,count,mean_pnl,median_pnl,win_rate
1,5,33,0.06294452691516973,0.021789248745622488,0.8181818181818182
1,10,33,0.05858674695244816,0.048275814441950095,0.7272727272727273
1,20,33,0.08010592904065734,0.06064102220167936,0.696969696969697
2,5,33,0.07802587616073386,0.047129693694806775,0.7878787878787878
2,10,33,0.08655678944214906,0.06203836182445457,0.7575757575757576
2,20,33,0.07956729591276628,0.058969671075994316,0.696969696969697
3,5,33,0.025860974301454606,0.0053537781659416675,0.5151515151515151
3,10,33,0.06867541985608257,0.055753751529799535,0.6666666666666666
3,20,33,0.031803255344235004,0.014595194610120883,0.5151515151515151
5,5,33,0.014752214500947559,0.006691461253842793,0.5454545454545454
5,10,33,0.04289511832740512,0.050764209643438245,0.6666666666666666
5,20,33,0.02846134334646478,0.021721323982613984,0.5151515151515151
