entry_day,hold_days,ret_col,count,mean,median,std,sharpe,t_stat,win_rate
1,3,pnl,651,0.006679270517024277,0.0029897001600757,0.07631576393142765,0.08752150503303396,2.2330850883820013,0.533026113671275
1,5,pnl,649,0.009960592262294295,0.0051580055095317,0.08454671884369726,0.11781169510207233,3.001309294513405,0.5377503852080123
1,10,pnl,646,0.014179781399599977,0.01170840960148,0.10455705775314877,0.13561763982568598,3.4469298185197514,0.5495356037151703
1,20,pnl,645,0.02821324789599643,0.0222222598982445,0.13216921899804682,0.2134630749116658,5.421289736421539,0.5875968992248062
2,3,pnl,651,0.005782129446206134,0.0033092916534921,0.06527611102875512,0.08857956387228734,2.260081143987714,0.5314900153609831
2,5,pnl,649,0.010368626455894814,0.0095632524397432,0.07617752726262926,0.13611135499512855,3.467501884950869,0.5624036979969184
2,10,pnl,646,0.014719602439734547,0.0130243310657019,0.09653843713233863,0.15247400804258252,3.8753602079104734,0.5773993808049536
2,20,pnl,645,0.027143379518865723,0.0175528723105257,0.12554292073263434,0.2162079658531468,5.49100132047328,0.5829457364341085
3,3,pnl,649,0.01002102977293078,0.0091076879684082,0.06980908475437238,0.14354907829246577,3.656981444199859,0.5778120184899846
3,5,pnl,648,0.012498434538757344,0.0121560930106657,0.08106690009015673,0.15417432422921676,3.9246375653039736,0.5848765432098766
3,10,pnl,646,0.01798670249237188,0.0168862003426387,0.09895055918875793,0.1817746422034915,4.620080656670611,0.5882352941176471
3,20,pnl,645,0.031093501761266133,0.0229574374170281,0.13048898521717628,0.2382844935878411,6.051675588252146,0.6139534883720931
5,3,pnl,648,0.004861784622165194,0.00695353269068095,0.058551934597907945,0.08303371452288281,2.1136932938245803,0.5679012345679012
5,5,pnl,648,0.006545684617502896,0.0097290564094284,0.06975332274529465,0.09384047038740456,2.38878838658409,0.5725308641975309
5,10,pnl,646,0.01342819308635921,0.0142136103961645,0.09228368737589494,0.14550993212552032,3.698357563064191,0.5773993808049536
5,20,pnl,643,0.02514115559553409,0.0208547217214209,0.12691511419064733,0.19809425974094738,5.023164230075287,0.6049766718506998
