side,window,count,mean_raw_return,median_raw_return,win_rate
LONG,1d,651,0.0016627978426154643,-0.0017881077646419701,0.4715821812596006
LONG,3d,651,0.00487988503864047,0.0009861782309300315,0.5099846390168971
LONG,5d,649,0.007345724620612678,0.008274958620707146,0.5485362095531587
LONG,10d,646,0.013195649905784868,0.013183904095979792,0.5619195046439629
LONG,20d,645,0.026929404591251274,0.01873863743887528,0.5922480620155038
