entry_lag,hold_days,count,mean_pnl,median_pnl,win_rate
1,3,651,0.0066792705170242795,0.002989700160075709,0.533026113671275
1,5,651,0.009903130372012557,0.0051580055095317165,0.5376344086021505
1,10,648,0.014037312407085162,0.011071308936770507,0.5478395061728395
1,20,646,0.02808995841818483,0.021498209171180265,0.586687306501548
2,3,651,0.005782129446206139,0.0033092916534921677,0.5314900153609831
2,5,651,0.010193954513061959,0.009405799766046602,0.5606758832565284
2,10,648,0.014749534400628254,0.013024331065701913,0.5771604938271605
2,20,645,0.027143379518865727,0.017552872310525797,0.5829457364341085
3,3,651,0.009886435068006193,0.00905711512332519,0.576036866359447
3,5,651,0.012174085781420518,0.011131715077140135,0.5821812596006144
3,10,648,0.018099545458409305,0.016943360780395218,0.5895061728395061
3,20,645,0.031093501761266136,0.022957437417028125,0.6139534883720931
5,3,651,0.004898014427596801,0.006950494991020057,0.5683563748079877
5,5,649,0.006662140640234412,0.009759033093379424,0.5731895223420647
5,10,646,0.013428193086359216,0.014213610396164547,0.5773993808049536
5,20,645,0.024581229390017275,0.019885096056707973,0.6031007751937985
