window,count,mean_pnl,median_pnl,win_rate
1d,651,0.0016627978426154643,-0.0017881077646419701,0.4715821812596006
3d,651,0.00487988503864047,0.0009861782309300315,0.5099846390168971
5d,651,0.007340747330506545,0.008274958620707146,0.5483870967741935
10d,648,0.013077716801312539,0.012553703178793696,0.5617283950617284
20d,646,0.026814549866978895,0.018553506838053832,0.5913312693498453
