entry_day,hold_days,ret_col,count,mean,median,std,sharpe,t_stat,win_rate
1,3,pnl,651,0.006679270517024277,0.0029897001600757,0.07631576393142765,0.08752150503303396,2.2330850883820013,0.533026113671275
1,5,pnl,651,0.009903130372012552,0.0051580055095317,0.08457120216682056,0.11709813882600575,2.9877240752537624,0.5376344086021505
1,10,pnl,648,0.014037312407085157,0.011071308936770451,0.10443625559234733,0.13441033793741025,3.4215286110162575,0.5478395061728395
1,20,pnl,646,0.028089958418184822,0.0214982091711802,0.13210389313615792,0.21263535654647842,5.404452930265617,0.586687306501548
2,3,pnl,651,0.005782129446206134,0.0033092916534921,0.06527611102875512,0.08857956387228734,2.260081143987714,0.5314900153609831
2,5,pnl,651,0.010193954513061952,0.0094057997660466,0.0761515652508717,0.13386401815221077,3.4155004840669942,0.5606758832565284
2,10,pnl,648,0.014749534400628246,0.0130243310657019,0.09640498324377374,0.1529955600254807,3.8946311274762313,0.5771604938271605
2,20,pnl,645,0.027143379518865723,0.0175528723105257,0.12554292073263434,0.2162079658531468,5.49100132047328,0.5829457364341085
3,3,pnl,651,0.009886435068006186,0.0090571151233251,0.06975335670867183,0.1417341836221208,3.616305407923385,0.576036866359447
3,5,pnl,651,0.012174085781420513,0.0111317150771401,0.08103937577671648,0.1502243281705813,3.832928912994726,0.5821812596006144
3,10,pnl,648,0.018099545458409295,0.01694336078039515,0.09881926028003597,0.18315807472266485,4.662443399956873,0.5895061728395061
3,20,pnl,645,0.031093501761266133,0.0229574374170281,0.13048898521717628,0.2382844935878411,6.051675588252146,0.6139534883720931
5,3,pnl,651,0.004898014427596795,0.00695049499102,0.058489434756474716,0.08374186633859698,2.136648734770016,0.5683563748079877
5,5,pnl,649,0.006662140640234405,0.0097590330933794,0.06976259203594384,0.0954973209252584,2.4328399370349594,0.5731895223420647
5,10,pnl,646,0.01342819308635921,0.0142136103961645,0.09228368737589494,0.14550993212552032,3.698357563064191,0.5773993808049536
5,20,pnl,645,0.024581229390017268,0.0198850960567079,0.12712081434559322,0.19336903650719417,4.910964453182265,0.6031007751937985
