entry_year,entry_lag,hold_days,count,mean_pnl,median_pnl,win_rate
2018,1,3,69,0.003900619034531178,-0.00029567099908899946,0.4927536231884058
2018,1,5,69,0.005353074741066538,0.004618421926567893,0.5362318840579711
2018,1,10,69,0.002570786403048991,0.0036463045468877833,0.5217391304347826
2018,1,20,69,0.031221927518480255,0.026573412976231028,0.6231884057971014
2018,2,3,69,-0.007064728454908818,-0.007092225444273565,0.3333333333333333
2018,2,5,69,-0.0003482389987184685,-0.000992858411398574,0.4927536231884058
2018,2,10,69,-0.003844771511838618,0.0032258392662130376,0.5217391304347826
2018,2,20,69,0.024354569381698558,0.017440052665235038,0.6231884057971014
2018,3,3,69,0.0011611271904720568,0.0027700584656075804,0.5362318840579711
2018,3,5,69,0.0015974877307221489,0.005380318512766222,0.5362318840579711
2018,3,10,69,0.0033939532805216696,0.015697144736061163,0.5797101449275363
2018,3,20,69,0.03665425064459319,0.024390249305540096,0.6231884057971014
2018,5,3,69,0.002067671224347277,0.005480597029768651,0.5652173913043478
2018,5,5,69,-0.0011913320860021186,0.0046570660569550705,0.5507246376811594
2018,5,10,69,0.011904126866504354,0.016537350399780413,0.5942028985507246
2018,5,20,69,0.03693794218655984,0.037533553740341424,0.6521739130434783
2019,1,3,75,0.009934369640694038,0.012518536603009259,0.5866666666666667
2019,1,5,75,0.016422321703218435,0.01834504500679348,0.6666666666666666
2019,1,10,75,0.03080243533781987,0.03172736811556139,0.6533333333333333
2019,1,20,75,0.036545137650093505,0.023578056273554412,0.64
2019,2,3,75,0.0062082161296198755,0.005042633218388004,0.6266666666666667
2019,2,5,75,0.012970289969406405,0.015613385957248304,0.6133333333333333
2019,2,10,75,0.029682332111305408,0.02807829384787629,0.6666666666666666
2019,2,20,75,0.0301001177237653,0.031086509663961336,0.68
2019,3,3,75,0.011702505974628304,0.01115102260978305,0.6533333333333333
2019,3,5,75,0.017274760647019084,0.019322252033239434,0.6266666666666667
2019,3,10,75,0.026017106262895218,0.021851754413860693,0.6666666666666666
2019,3,20,75,0.03502342897272522,0.033554602661401756,0.68
2019,5,3,75,0.012976770821015964,0.013398169709101243,0.7066666666666667
2019,5,5,75,0.018855721193216272,0.01787112985243658,0.68
2019,5,10,75,0.02411437181536157,0.022809246122780985,0.6933333333333334
2019,5,20,75,0.032343845960947505,0.026852294065124335,0.7066666666666667
2020,1,3,81,0.005024208900992358,-0.003965046663111627,0.48148148148148145
2020,1,5,81,0.009185652889249826,0.0036706291850351503,0.5185185185185185
2020,1,10,81,0.020669899814285613,0.01599017375288903,0.5802469135802469
2020,1,20,81,0.04877658304583946,0.04759645055527364,0.6666666666666666
2020,2,3,81,0.012519143374221019,0.003961980284332483,0.5555555555555556
2020,2,5,81,0.022906212759886708,0.02006687043082556,0.5679012345679012
2020,2,10,81,0.03191210314668988,0.025871855517237058,0.7037037037037037
2020,2,20,81,0.06482290302118549,0.06466581356320303,0.6790123456790124
2020,3,3,81,0.02045304142206697,0.014930787687318864,0.6049382716049383
2020,3,5,81,0.026361540098095246,0.020254178820522283,0.6172839506172839
2020,3,10,81,0.040575679990614226,0.037344828567207736,0.6666666666666666
2020,3,20,81,0.07304773837643563,0.0643869484335905,0.7283950617283951
2020,5,3,81,0.00839256601199106,0.006950494991020057,0.6049382716049383
2020,5,5,81,0.011101131699432939,0.013511943574572558,0.6049382716049383
2020,5,10,81,0.029012942301825075,0.030299369617187082,0.6666666666666666
2020,5,20,81,0.04848472215834706,0.04834377423139571,0.7037037037037037
2021,1,3,81,0.004053559486526741,0.007491680699490535,0.5555555555555556
2021,1,5,81,0.007510103766573058,-0.002544533003435749,0.48148148148148145
2021,1,10,81,0.009557237851547724,0.009030684730945286,0.5061728395061729
2021,1,20,81,0.017727652339580537,0.013555194120483116,0.6049382716049383
2021,2,3,81,0.003771702169756974,0.0016243444827040772,0.5308641975308642
2021,2,5,81,0.008054833228268263,0.009405799766046602,0.5679012345679012
2021,2,10,81,0.010055337452133791,0.009838454491126991,0.5308641975308642
2021,2,20,81,0.019870862149704408,0.01706501151329125,0.5925925925925926
2021,3,3,81,0.010943638126989981,0.010477151889095222,0.6049382716049383
2021,3,5,81,0.013109742292339098,0.0093117220701234,0.5802469135802469
2021,3,10,81,0.013288045852566393,0.018089368008681165,0.6049382716049383
2021,3,20,81,0.025095458622206832,0.028483680278702576,0.6666666666666666
2021,5,3,81,0.005343378127429434,0.005128810831100589,0.5185185185185185
2021,5,5,81,0.0006174522627215279,0.007326072993675382,0.5308641975308642
2021,5,10,81,0.011268556432125213,0.008816631921761001,0.5432098765432098
2021,5,20,81,0.014817847442933107,0.013294545030386037,0.5679012345679012
2022,1,3,80,0.013168768719882384,0.007157078617779995,0.5875
2022,1,5,80,0.018169707774666997,0.01697303238888815,0.6125
2022,1,10,80,0.007607487128500691,-0.0032481763058217154,0.4875
2022,1,20,80,0.010160158643272077,0.004504836051824524,0.5125
2022,2,3,80,0.010836542446553025,0.009590785285236755,0.5625
2022,2,5,80,0.012510876613514655,0.007670415137303841,0.5125
2022,2,10,80,0.00875281473459266,0.0029388219706444874,0.525
2022,2,20,80,0.007114427668585425,-0.003029646307853605,0.4875
2022,3,3,80,0.015495091847068298,0.014607259641168838,0.6
2022,3,5,80,0.011667251302388128,0.011885655355373868,0.6
2022,3,10,80,0.008613778014193657,0.005365853850357989,0.525
2022,3,20,80,0.0045291436745136925,0.018194933413981165,0.525
2022,5,3,80,0.003284230578653903,0.0114589198629124,0.575
2022,5,5,80,0.0016677218696284242,0.0033620824105395804,0.5375
2022,5,10,80,0.002526430768546391,0.004960959115855926,0.525
2022,5,20,80,-0.007246172182279123,-0.004666930476987107,0.475
2023,1,3,75,0.005375469750705016,0.0015786871308000655,0.5066666666666667
2023,1,5,75,0.01153972086203382,-0.00022218492296006945,0.49333333333333335
2023,1,10,75,0.03559321552780248,0.015495079103852097,0.5866666666666667
2023,1,20,75,0.06443805118606565,0.052631516788379296,0.6133333333333333
2023,2,3,75,0.008451652447504227,0.004178693610290241,0.5333333333333333
2023,2,5,75,0.02207239173182179,0.01361988464631646,0.6666666666666666
2023,2,10,75,0.03618764185271282,0.023382923742997032,0.6266666666666667
2023,2,20,75,0.06339142292712982,0.03508677567709224,0.64
2023,3,3,75,0.016586440316758176,0.008141104981169137,0.5466666666666666
2023,3,5,75,0.029669587076233312,0.023923373984577532,0.64
2023,3,10,75,0.04724245628719644,0.03012671962903735,0.6533333333333333
2023,3,20,75,0.06617933740617914,0.02578019812357782,0.64
2023,5,3,75,0.01841058238561027,0.01571521494884986,0.6533333333333333
2023,5,5,75,0.027403314171801297,0.01838876949840791,0.6266666666666667
2023,5,10,75,0.041173019027313254,0.029054644050771867,0.5733333333333334
2023,5,20,75,0.06751822544890979,0.027496420517346146,0.6666666666666666
2024,1,3,87,-0.0007095339781396503,0.0026458243316830376,0.5287356321839081
2024,1,5,87,0.0066596694222393945,0.01032210512668638,0.5517241379310345
2024,1,10,87,0.023588075292294494,0.02632503799583507,0.632183908045977
2024,1,20,87,0.03411426897711412,0.03454550210531656,0.6206896551724138
2024,2,3,87,0.004742400764802066,0.007260748792637586,0.5632183908045977
2024,2,5,87,0.0102863310936317,0.01309050487009872,0.5977011494252874
2024,2,10,87,0.02599386323910981,0.014151197823280436,0.5977011494252874
2024,2,20,87,0.027851007721811382,0.017552872310525797,0.5747126436781609
2024,3,3,87,0.006812814440636102,0.012121750368215181,0.5632183908045977
2024,3,5,87,0.009996101155794176,0.005601255658053131,0.5862068965517241
2024,3,10,87,0.028686934295173997,0.02603817412837201,0.632183908045977
2024,3,20,87,0.030665259280018772,0.022734582203917865,0.632183908045977
2024,5,3,87,0.004794775393185118,0.003681066018370928,0.5517241379310345
2024,5,5,87,0.014813468249183843,0.018995580861191252,0.6206896551724138
2024,5,10,87,0.024625628169351113,0.023395164749286903,0.632183908045977
2024,5,20,87,0.024676275017245945,0.023413534600808063,0.6091954022988506
2025,1,3,88,0.01778592721088572,0.0038946871296405396,0.5340909090909091
2025,1,5,88,0.012396178996291522,0.0,0.48863636363636365
2025,1,10,88,-0.004811215522899596,-0.007362521163202735,0.4772727272727273
2025,1,20,88,0.0008928289142637946,-0.009331064104216493,0.48863636363636365
2025,2,3,88,0.009740932318782576,0.005411322784761093,0.5454545454545454
2025,2,5,88,0.0006651992533213201,0.001134761456493626,0.5227272727272727
2025,2,10,88,-0.011592836775696181,-0.000851828374974739,0.5
2025,2,20,88,-0.003188944937419441,-0.008922767174286087,0.4659090909090909
2025,3,3,88,-0.00025754130397033455,0.0021319662865557903,0.5113636363636364
2025,3,5,88,-0.00651303192839807,0.0009490878773172828,0.5113636363636364
2025,3,10,88,-0.015331297558222346,-0.007491550042297564,0.4431818181818182
2025,3,20,88,-0.007834939083923341,-0.0026507416184146657,0.45454545454545453
2025,5,3,88,-0.010822042638755351,-0.007169231702282377,0.4090909090909091
2025,5,5,88,-0.013717134260407004,-0.009548092672154658,0.4659090909090909
2025,5,10,88,-0.024458390966557844,-0.009948143813043521,0.45454545454545453
2025,5,20,88,-0.002893612351949173,0.0067940504127154,0.5227272727272727
2026,1,3,15,-0.024093895772947082,-0.000589717073767645,0.4666666666666667
2026,1,5,13,-0.03679068260015423,-0.02761759715755857,0.3076923076923077
2026,1,10,10,-0.06826919982174795,-0.050854297261333226,0.2
2026,1,20,9,-0.08629704130158916,-0.07232559558957122,0.1111111111111111
2026,2,3,15,-0.020275360386167236,-0.007309342941366775,0.4
2026,2,5,13,-0.025930558489597026,-0.021191361715176625,0.3076923076923077
2026,2,10,10,-0.05069799697293994,-0.01657098122297411,0.2
2026,2,20,9,-0.08406786179105954,-0.060104109970686964,0.1111111111111111
2026,3,3,13,-0.00391769524534657,0.010492492283692452,0.6153846153846154
2026,3,5,12,0.0034054066483092233,0.0022448173867252244,0.5
2026,3,10,10,-0.03079132905303251,-0.016855419574669763,0.2
2026,3,20,9,-0.039375056189512536,-0.016102760200582173,0.4444444444444444
2026,5,3,12,-0.015536666532990592,-0.012050298204525543,0.5
2026,5,5,12,-0.025825756630687913,-0.03503910099807237,0.4166666666666667
2026,5,10,10,-0.049833343781149966,-0.03558092512245373,0.2
2026,5,20,7,-0.04466038876196184,-0.04792227195241788,0.14285714285714285
