entry_day,hold_days,year,ret_col,count,mean,median,std,sharpe,t_stat,win_rate
1,3,2018,pnl,69,0.003900619034531178,-0.0002956709990889,0.07113114610373825,0.05483700528095643,0.4555103766377573,0.4927536231884058
1,3,2019,pnl,75,0.009934369640694033,0.0125185366030092,0.06771956253537909,0.14669866828368786,1.2704477343502023,0.5866666666666667
1,3,2020,pnl,81,0.005024208900992355,-0.0039650466631116,0.0784318976375219,0.06405823462556093,0.5765241116300482,0.48148148148148145
1,3,2021,pnl,81,0.004053559486526727,0.0074916806994905,0.06867196437957103,0.05902786563846432,0.531250790746179,0.5555555555555556
1,3,2022,pnl,81,0.017594669060828697,0.0071784035878228,0.10146595865638554,0.17340465012914372,1.5606418511622935,0.5925925925925926
1,3,2023,pnl,75,0.0053754697507050215,0.0015786871308,0.06346375432034272,0.08470141434702302,0.7335357656099367,0.5066666666666667
1,3,2024,pnl,87,-0.0007095339781396482,0.002645824331683,0.06916393894492079,-0.010258727148329287,-0.09568703671468015,0.5287356321839081
1,3,2025,pnl,87,0.013718332163464478,0.0026862398346929,0.08336986558252632,0.16454785032470695,1.5348001723494653,0.5287356321839081
1,3,2026,pnl,15,-0.024093895772947085,-0.0005897170737676,0.06912243445984194,-0.3485683911631457,-1.3499995739891757,0.4666666666666667
1,5,2018,pnl,69,0.005353074741066533,0.0046184219265678,0.0727468569399295,0.0735849625157939,0.6112426055856256,0.5362318840579711
1,5,2019,pnl,75,0.01642232170321843,0.0183450450067934,0.06768859601747722,0.2426157827084814,2.1011143118459024,0.6666666666666666
1,5,2020,pnl,81,0.009185652889249822,0.0036706291850351,0.08237776958702467,0.1115064529581128,1.0035580766230152,0.5185185185185185
1,5,2021,pnl,81,0.007510103766573058,-0.0025445330034357,0.08932840146721133,0.08407296719990785,0.7566567047991706,0.48148148148148145
1,5,2022,pnl,81,0.023548956976553098,0.0169845275696255,0.10423995401770564,0.225911045322921,2.033199407906289,0.6172839506172839
1,5,2023,pnl,75,0.011539720862033824,-0.00022218492296,0.0798166669212749,0.14457783451939593,1.252080775179396,0.49333333333333335
1,5,2024,pnl,87,0.006659669422239395,0.0103221051266863,0.08519935081917672,0.0781657296470906,0.7290813893796764,0.5517241379310345
1,5,2025,pnl,87,0.007321550098232325,0.0,0.08893768684009287,0.08232224558972664,0.7678507891168495,0.4827586206896552
1,5,2026,pnl,15,-0.03305102532338868,-0.0276175971575585,0.0727109072117961,-0.45455388456529555,-1.7604796248752785,0.3333333333333333
1,10,2018,pnl,69,0.0025707864030489885,0.0036463045468877,0.0888732097330736,0.028926449385255935,0.24028113473305882,0.5217391304347826
1,10,2019,pnl,75,0.03080243533781986,0.0317273681155613,0.08465016989874496,0.3638791909651742,3.1512862328436984,0.6533333333333333
1,10,2020,pnl,81,0.02066989981428561,0.015990173752889,0.10916724201671706,0.18934159581608168,1.704074362344735,0.5802469135802469
1,10,2021,pnl,81,0.009557237851547721,0.0090306847309452,0.09121646602822711,0.10477535764858743,0.9429782188372868,0.5061728395061729
